frequencia,palabra,uso,definición,ejemplo
86,parte,nf,"part, portion",el arte es una parte tan importante de la cultura
87,después,adv,after,vamos a dar un paseo después de comer
88,vida,nf,life,ha dedicado toda la vida a la música
89,quedar,v,"to remain, stay",el aire empezó a quedarse quieto
90,siempre,adv,"always, forever",siempre ha sido así
91,creer,v,"to believe, think",creo en la justicia de Dios
92,hablar,v,"to speak, talk",algunos hablan el idioma romaní
93,llevar,v,"to take, carry",colgado al hombro llevaba un bolso
94,dejar,v,"to let, leave",ella no dejó que yo lo olvidara
95,nada,pron,"nothing, (not) at all",no hay nada que hacer
96,cada,adj,"each, every",de aprender cada día un poco más
97,seguir,v,"to follow, keep on",el calor sofocante que sigue al mediodía
98,menos,adj,"less, fewer",no vale más ni menos que la anterior
99,nuevo,adj,new,marcaba el comienzo de una nueva vida para mí
100,encontrar,v,to find,encontró un lugar apropiado para instalar la sucursal
101,algo,pron,"something, somewhat",tengo algo que decirte
102,sólo,adv,"only, just",no siempre vestía ropa de mujer; sólo en carnaval
103,pues,conj,"then, well then",pues venga usted cuando quiera
104,llamar,v,"to call, name",el juez se llamaba Pedro Barreda
105,venir,v,to come,unos afirman que el jazz viene de África
106,pensar,v,to think,trataba de pensar de dónde podría sacar el dinero
107,aquel,adj,that (over there),unos veinte millones de pesetas (de aquella época)
108,momento,nm,"moment, time",estaba pasando uno de los peores momentosde mi vida
109,sino,conj,"but, except, rather",no somos nosotros el centro sino ella
110,esto,pron,this (n),quiero esto o aquello
111,salir,v,"to leave, go out",para que le abriese la reja para salir al bosque
112,volver,v,"to return, to V again",los habitantes afectados puedan volver a sus casas
113,forma,nf,"form, shape, way",necesito estar en buena forma física
114,antes,adv,before,quería verla antes de salir
115,bueno,adj,good,"si estaba de buen humor, nos besábamos sin ruido"
116,casa,nf,house,hoy la gente vive en la calle; no vive en su casa 
117,aunque,conj,"although, even though","aunque hay problemas, muchos se pueden evitar"
118,mundo,nm,world,no se parecía a ninguna ciudad del mundo 
119,tres,num,three,"tres direcciones: diagonal, horizontal y vertical"
120,tal,adj,such (a),bien sabía que tal cosa era imposible
121,mejor,adj,"best, better (adv)","yo, al fin y al cabo, soy el mejor amigo"
122,tomar,v,"to take, drink",mi padre tomó un sorbo de agua y continuó hablando
123,cierto,adj,"certain, sure, true",no sé si esto es cierto o no
124,conocer,v,to know (someone or place),ella conoce muy bien a Nicolás
125,hacia,prep,"toward, towards",sus sentimientos hacia él son todavía tan firmes
126,cómo,adv,how?,"mamá, ¿cómo puedo vivir?"
127,mujer,nf,"woman, wife",su mamá es una mujer muy enferma y no puede trabajar
128,vivir,v,to live,"vamos a Buenos Aires, a vivir en la miseria"
129,aquí,adv,here,¡Aquí hay dos también!
130,caso,nm,"case, occasion","luego, en este caso está plenamente justificada"
131,sentir,v,"to feel, regret ",lloraba de sentirse tan depravado
132,luego,adv,"later, afterwards",luego va con su esposa y la contagia
133,país,nm,country,de todos los países de las Américas
134,tratar,v,"to try, treat, deal with",eso es precisamente lo que tratamos de evitar
135,lugar,nm,"place, position",es el lugar más lindo de la costa
136,te,pron,you (obj/+fam),¿no te han hablado?
137,persona,nf,person,era una persona de mucho talento
138,mayor,adj,"larger, older, main",yo trabajé la mayor parte del tiempo
139,último,adj,"last, final",se opuso al viaje hasta el último momento
140,propio,adj,"own, proper, typical",le doy dinero de mi propio bolsillo
141,quien,pron,"who, whom","ahora o, quién sabe, nunca"
142,mirar,v,"to look, watch",y los ojos mirando al infinito
143,hora,nf,"hour, time (specific)",deben celebrarse a primera hora de la tarde
144,ninguno,adj,"no, none, nobody (pron)",ninguno de mis cuatro varones se ha graduado de nada
145,trabajo,nm,"work, job, effort",pasó su vida entera dedicado a su trabajo 
146,casi,adv,"almost, nearly",estamos casi siempre solos
147,punto,nm,"point, dot, period",desde mi punto de vista son las más significativas
148,durante,adv,"during, for (time)",durante una semana traté de no verla
149,cualquier,adj,"any, anyone (pron)","en cualquier caso, necesitamos soledad"
150,mano,nf,hand,se pueden contar con los dedos de una mano 
151,nunca,adv,"never, ever",se aprecia ahora más que nunca la libertad
152,manera,nf,"way, manner",lo hizo de manera muy informal
153,cual,pron,"which, who, whom",el pañuelo con el cual me limpié
154,mientras,conj,"while, whereas, as long as",nos miró mientras comía un gran trozo depan
155,contar,v,"to tell, count",me contó una larga y estúpida historia
156,fin,nm,end,se habrá terminado la humanidad y ése será elfin de la Historia
157,tipo,nm,"type, kind",reconozco tu oposición a este tipo deideología
158,gente,nf,people,la gente tiene miedo de perder su identidad
159,además,adv,"also, as well, besides","además de español, ¿hablas algún otroidioma?"
160,solo,adj,"lonely, alone","se sentía solo, espantosamente solo"
161,empezar,v,"to begin, start",lentamente su auto empieza a avanzar
162,ejemplo,nm,example,"hay otras, por ejemplo las guerras"
163,esperar,v,"to wait, hope (for), expect",los astrónomos llevaban siglos esperando aque sucediera
164,hoy,adv,"today, nowadays",ayer estuvo aquí; hoy puede estar allá
165,lado,nm,side,está situada al lado derecho
166,hijo,nm,"son, [pl] children",cada padre espera que su hijo sea más que él
167,allí,adv,"there, over there","allí están, junto a la playa"
168,éste,pron,"this one (m), [ésta (f)]",¿qué esperabas de un lugar como éste?
169,problema,nm,problem,para resolver un problema tan sencillo
170,cuenta,nf,"bill, account",sería bueno sacar la cuenta y calcular gastos
171,medio,nm,"means, middle; pormedio:through","por medio de la música, se conocen lossentimientos"
172,contra,prep,"against, opposite",hermanos contra hermanos y padres contrahijos
173,buscar,v,to look for,decidí volver a la calle y buscar un empleo
174,dentro,adv,inside,¿o algo quedó dentro del pozo tapiado?
175,largo,adj,long,tenía el pelo largo a la altura de los pechos
176,palabra,nf,word,jamás dijo una palabra en inglés
177,existir,v,to exist,¿puede existir alguien que sea perfecto?
178,niño,nm,"child, little boy",he tenido suerte desde que era niño
179,entrar,v,to enter,¡este maldito no puede entrar en nuestra casa!
180,embargo,nm,sin embargo: nevertheless,"el concierto tendrá, sin embargo, unsignificado especial"
181,único,adj,"only, unique, sole",era el único hijo varón de la familia
182,padre,nm,father,¿es el padre de mi futuro hijo?
183,trabajar,v,to work,comenzaban a trabajar de camareros
184,pequeño,adj,"little, small, young",a pesar de su pequeño tamaño estaba llena dedetalles
185,alto,adj,"tall, high",desde lo alto de los Alpes
186,cambio,nm,change,podía requerir un cambio de actitud
187,escribir,v,to write,mi padre escribe unas cartas tan cortas
188,cuatro,num,four,tienen cuatro patas y cuernos
189,ahí,adv,there,está ahí en la mesa de luz
190,perder,v,"to lose, miss",el golpe me hizo perder el equilibrio
191,nosotros,pron,we (subj),jamás lo hemos hecho nosotros 
192,historia,nf,"history, story",los períodos más diversos de la historia delarte
193,idea,nf,idea,podemos renunciar a la idea de la igualdad
194,agua,nf,(el) water,"Déme usted un vaso de agua, que tengomucha sed"
195,producir,v,"to produce, cause",nunca llegó a producirse el tercer y prometidoataque
196,noche,nf,"night, evening","trabaja por la mañana, por la tarde, y por lanoche"
197,ciudad,nf,city,quieren estar en la ciudad y no salir al campo
198,modo,nm,"way, manner",hay diferencia entre el modo de hablar y el deescribir
199,nombre,nm,"name, noun",Susana no es mi nombre verdadero
200,ocurrir,v,"to happen, occur",el miedo a lo que pudiera ocurrir meinmovilizó
201,familia,nf,family,la familia es la unidad social más significativa
202,realidad,nf,"reality, actuality","le habló a Rosabel, que en realidad se llamabaMaría"
203,entender,v,to understand,todavía no entiendo demasiado bien lo quepasó
204,pedir,v,"to ask for, request",me atreví a pedirle que me diera clases
205,recibir,v,to receive,Pavlov recibe el Premio Nobel por susestudios
206,obra,nf,"work, book, deed",la primera obra literaria de Dante fue La VidaNueva
207,importante,adj,important,el momento más importante de la ceremonia
208,medio,adj,"half, middle",la noche sorprendió a los viajeros a mediocamino
209,verdad,nf,truth,¡diga la verdad! ¡Todo le acusa!
210,mes,nm,month,tendrá lugar el próximo mes de noviembre
211,todavía,adv,"still, yet",los animales que todavía están vivos
212,razón,nf,reason; tener razón: to be right,"es verdad, tienes razón; ella no es de San Juan"
213,cuanto,adj,"en cuanto a: in terms of, regarding",hoy hay más apatía en cuanto a estascuestiones
214,bajo,prep,"under, underneath",hacía dos o tres grados bajo cero
215,recordar,v,"to remember, remind",prefiero no recordar esa época de mi vida
216,grupo,nm,group,¿cuál será su papel en ese grupo de trabajo?
217,mil,num,thousand,unos mil años han pasado desde entonces
218,humano,adj,human,"somos seres humanos, y gente normal"
219,terminar,v,"to finish, end",cuelga sin terminar la conversación
220,permitir,v,"to allow, permit",no se me permitió jugar allí por varios días
221,aparecer,v,to appear,"detrás suyo, Teresa apareció por la puerta dela cocina"
222,conseguir,v,"to get, acquire, obtain","vas a robar, para conseguir plata"
223,comenzar,v,"to begin, start",a los veintidós años comenzó a aprendercastellano
224,varios,adj,"several, various",está constituida por varios dialectos
225,posible,adj,possible,trató de hacer el menor ruido posible para nodespertarla
226,servir,v,to serve,destapa la botella y sirve unas copas
227,general,adj,general,"es decir, algo equivalente a los genes ensentido general"
228,sacar,v,to take out,la Lechuza sacó un revólver y mató a estemuchacho
229,necesitar,v,to need,vas a necesitar un trabajo nuevo
230,relación,nf,"relationship, relation",he tenido una relación muy estrecha con loscompositores
231,cinco,num,five,gozo de tener los cinco sentidos
232,cuerpo,nm,body,el cuerpo humano se compone de millones decélulas
233,nadie,pron,"nobody, anybody",nadie sabe nada
234,mantener,v,"to keep, maintain",Luis cruzó los brazos y se mantuvo sereno
235,hecho,nm,"fact, happening",le gustó el hecho de que yo estuviese allí
236,ante,prep,"before, in the presence of",qué hacer y cómo actuar ante estascircunstancias
237,principio,nm,"beginning, principle",tiene fiebre al principio de la enfermedad
238,resultar,v,"to result, turn out",todo con gran precisión; el viaje resultóperfecto
239,igual,adj,"equal, same (as)",los indios son seres humanos iguales quenosotros
240,señor,nm,"sir, Mr, lord",¿puedo pagar con dólares? Sí señor
241,pueblo,nm,"people, village",el libro no representa al pueblo portugués
242,tarde,nf,"afternoon, evening",eran las dos de la tarde y yo estaba sin comernada
243,segundo,adj,second,en la segunda mitad del siglo
244,leer,v,to read,prefiero leer a los autores de moda
245,caer,v,to fall,no quiero caer en mi tumba siendo joven
246,cambiar,v,to change,no van a cambiar las relaciones de poder
247,ojo,nm,eye,los grandes ojos verdes la miraban conternura
248,calle,nf,street,llegó a la esquina de la calle La Merced y laHuancavelica
249,presentar,v,"to introduce, present",P. me presentó con gravedad a una chicavirgen
250,blanco,adj,white,esta foto es en blanco y negro
251,crear,v,to create,lo que A. creaba con las manos era un donsobrenatural
252,abrir,v,to open,todos quieren abrir la puerta para ir a jugar
253,libro,nm,book,¿está usted escribiendo un libro sobre lapolítica?
254,distinto,adj,"distinct, different",abrirían las puertas a un futuro distinto paramí
255,fuerza,nf,"strength, force, power","hay artistas excepcionales, con una fuerzaincreíble"
256,luz,nf,light,desaparece la luz hasta el oscuro
257,según,prep,according to,"según su experiencia, ésa era la pista correcta"
258,santo,nm,saint (m),todos iban detrás del Santo Patrono con rezosy cánticos
259,claro,adj,clear,esto constituye un claro precedente
260,frente,nmf,al frente: facing; frente a: acrossfrom,"lo Uno frente a lo Otro, el Bien frente al Mal"
261,considerar,v,to consider,no podía considerar la primera hipótesis conseriedad
262,amigo,nm,friend,¿No tienes un amigo a quien me podríaspresentar?
263,oír,v,to hear,no se oía ningún sonido
264,cuyo,adj,whose,"el oxígeno, cuyo número atómico es 8"
265,sentido,nm,"sense, feeling",una cantante-actriz en el sentido actual deltérmino
266,acabar,v,acabar de V: to have just Ved; finish,la que ahora se acaba de traducir al castellano
267,paso,nm,"step, pace","sí, la escritura fue un paso decisivo"
268,situación,nf,situation,¿cómo es la situación allí actualmente?
269,usted,pron,you (subj/-fam),"los tiene usted, señor alcalde"
270,bastante,adj,"rather, fairly, quite a bit (adv)",estoy bastante satisfecho con mi vida
271,convertir,v,"to convert, change, become",el café llegó a convertirse en la bebida máspopular de Cuba
272,gracia,nf,"(pl) thank you; grace, favor","bueno, gracias por tu tiempo, ¿eh?"
273,siglo,nm,"century, age",los poetas más populares del siglo XX
274,dios,nm,"god, divinity",ahora sé que hay un Dios en los cielos
275,malo,adj,bad,éste se lamentó de su mala suerte
276,tierra,nf,"earth, land, ground","la tierra daba el maíz, el trigo y el arroz"
277,papel,nm,"paper, role, part",el poco papel que tenemos lo dedicamos alibros
278,madre,nf,mother,"ahora está casada, es madre de familia"
279,tampoco,adv,"neither, nor, either",porque yo no la conozco y él tampoco laconoce
280,social,adj,social,"no me gusta la vida social, no voy a ningunaparte"
281,viejo,adj,"old, aged","el viejo tiene como ochenta años, y está loco"
282,aún,adv,"still, yet",se está muriendo; aún está en coma
283,tema,nm,"theme, subject, topic",entre ellos pues está el tema de la ecología
284,político,adj,political,nos afiliamos a un partido político 
285,español,adj,Spanish,la lengua española de hoy es el castellano
286,ganar,v,"to win, earn",a los diez años ganó el Premio Nobel
287,formar,v,to form,sus componentes se marchaban para formarsus propios grupos
288,clase,nf,"kind, class, order",¿qué otra clase de música le interesa?
289,traer,v,"to bring, carry","sí, me trae un zumo de naranjas, por favor"
290,partir,v,"to divide, leave; a partir de: starting",a partir de los cuatro minutos la tarifa esestable
291,dinero,nm,money,"¿hay mucho dinero?, ¿es muy rico?"
292,quién,pron,"who?, whom?",¿quién es el padre de su hijo?
293,morir,v,to die,la pobre murió de pulmonía meses después
294,incluso,adv,"including, even (adv)",e incluso puede detectar cuando hay errores
295,campo,nm,"field, country",mi campo principal es la enfermedadcoronaria
296,aceptar,v,to accept,A. estuvo indecisa en aceptar su petición dematrimonio
297,quizás,adv,"perhaps, maybe","quizás sí, pero de otra forma"
298,cabeza,nf,head (part of body),planteaba muchas preguntas en mi cabeza
299,realizar,v,"to fulfill, carry out",el viaje se realizó en noviembre
300,ciento,num,hundred,se pueda confiar ciento por ciento
301,mal,adv,badly,mucha gente habla mal de él
302,orden,nmf,"order; sequence (m), religiousorder (f)",hay que poner todo en orden de prioridad
303,don,nm,"courtesy title (m), Mr, gift",¿cómo era don Manuel?
304,semana,nf,week,"no todos los días, pero varios días de lasemana "
305,suponer,v,"to suppose, assume",era absurdo suponer que la guerrilla cambiarasus planes
306,comprender,v,to understand,"los había leído todos, sin comprender mucho"
307,final,nmf,"al final: finally, in the end","pero al final, el resultado es la perfección"
308,interés,nm,interest,"usted, de verdad, sí tiene interés en este tema"
309,siguiente,adj,"following, next",al día siguiente se levantó más decidido quenunca
310,vista,nf,"view, sight",era un territorio fértil con una hermosa vistahacia la cordillera
311,lograr,v,"to achieve, get, manage",un director no puede lograr buenos resultadossin ayuda
312,demás,adj,"the rest, others",serán la envidia de los demás colegaslatinoamericanos
313,acuerdo,nm,accord; de acuerdo: inagreement,estoy de acuerdo con esa interpretación
314,difícil,adj,"difficult, hard","es duro, difícil tomar una decisión como ésta"
315,número,nm,number,ella escribía su número telefónico en unpapelito
316,explicar,v,to explain,¿podría explicar los detalles de este análisis?
317,negro,adj,black,la existencia de un agujero negro en la galaxiaM87
318,fondo,nm,"bottom, end","ese es el sistema, y en el fondo funciona"
319,camino,nm,"road, route, path",es un camino muy largo el que nos queda porrecorrer
320,voz,nf,voice,un hombre de voz vibrante y rica empezó acantar
321,estudio,nm,"study, learning",he colaborado en un estudio de epidemiologíadescriptiva
322,necesario,adj,necessary,ahora es necesario dirigir más oraciones aDios
323,preguntar,v,to ask (a question),les voy a preguntar si quieren comer
324,allá,adv,"there, over there","miren allá, cerca del puente"
325,tocar,v,"to touch, play (instrument)",se acercó hasta tocar su rodilla con la mía
326,valor,nm,"value, worth",hay que descubrir el valor artístico de la obrade arte
327,reconocer,v,"to recognize, admit",no pudo reconocer quién era
328,estudiar,v,to study,Adam quiere estudiar teología y ser sacerdote
329,alcanzar,v,"to reach, catch up with",la economía tiene posibilidades de alcanzar la prosperidad
330,nacer,v,to be born,Picasso nació en Málaga en 1881
331,dirigir,v,"to direct, manage",usted dirigió la Orquesta Nacional en 1954
332,correr,v,to run,ahorita corre tres kilómetros y medio
333,medida,nf,measure; a medida que: to theextent,el artista crece a medida que madura
334,menor,adj,"younger, youngest",E. era el menor de los hermanos
335,demasiado,adj,"too much, too many",esta casa es demasiado grande para unapersona
336,solamente,adv,only,la opinión es solamente una hipótesis
337,bueno,adv,well...,"bueno, ¿y ahora qué hacemos?"
338,utilizar,v,"to use, utilize",sería una buena idea utilizar colores pálidos
339,centro,nm,"center, middle, downtown",no necesitan estar solos en el centro delescenario
340,necesidad,nf,"necessity, need",sentía la necesidad de ser comprendido
341,condición,nf,condition,afecta a la condición física de todos losórganos
342,pagar,v,to pay,estamos tratando de pagar esta deuda
343,ello,pron,it (subj-n),¿qué se perdía con ello?
344,falta,nf,"lack, shortage","sería una locura, una falta de ese sentido de la realidad"
345,ayudar,v,to help,espero ganar dinero para ayudar a mi pobremadre
346,diez,num,ten,a mí me bastaban los diez mandamientos
347,través,adv,"a través: across, over, through",los sentimientos que han llegado a mí a travésde la música 
348,antiguo,adj,"old, ancient, former",es una de las obras más antiguas - fines delsiglo XIII
349,tu,adj,your (sg/+fam),ésta es tu casa y ésta es tu cama
350,edad,nf,age,se acercaba a la edad de encontrar un hombrecon quien casarse
351,estado,nm,"state, condition, status",hay un estado de incertidumbre que flota enel ambiente
352,ser,nm,being,se puede ser un ser humano perfecto y unbárbaro en cultura
353,gustar,v,to be pleasing to,¡no me gusta que te acaricie!
354,puerta,nf,door,¿por dónde estará la puerta de salida?
355,jugar,v,to play (sport/game),puede jugar a la pelota
356,cara,nf,"face, expression",aparece la cara del hombre con sus bigotes decepillo
357,mí,pron,me (obj prep),el regalo era para mí 
358,época,nf,"time, age, period",en la época romana se utilizaba más el bronce
359,color,nm,color,"coincide con los colores primarios: rojo, azul yamarillo"
360,escuchar,v,to listen to,tuvo oportunidad de escuchar comentarios deviajeros
361,experiencia,nf,experience,tengo experiencia de la vida y del amor
362,movimiento,nm,movement,estaba encabezando un movimiento desubversión
363,cumplir,v,to fulfill,necesita algo más para cumplir su trabajo
364,especial,adj,special,siento también una especial predilección porStravinski
365,diferente,adj,"different, separate","en un entorno urbano el reto, en cambio, esdiferente"
366,pesar,nm,sorrow; a pesar de: in spite of,comprendí su decisión a pesar de que meentristeciera mucho
367,posibilidad,nf,possibility,debes considerar la posibilidad de dar enadopción a tu bebé
368,ofrecer,v,"to offer, present",el Hotel D. ofrece su menú en francés
369,descubrir,v,to discover,otro policía descubrió un paquete en el suelo
370,anterior,adj,"previous, preceding","en términos de dólares, el anterior fue un añosobresaliente"
371,juego,nm,"game, play, sport",he escrito algunos libros de juego y diversión
372,levantar,v,"to raise, lift",de pronto se levantó y fue hasta su biblioteca
373,pobre,adj,poor,"el pobre, va a tener que trabajar"
374,aire,nm,"air, wind, appearance",el helicóptero puede estacionarse en el aire
375,seis,num,six,cinco por seis son treinta
376,intentar,v,"to try, attempt",¿somos tan tontos como para intentar repetirla historia?
377,guerra,nf,"war, warfare",qué pronto se olvida a las víctimas de unaguerra
378,junto,adv,"together with, next to",trabajábamos juntos en el Congreso
379,resultado,nm,"result, outcome",fue el resultado de muchas acciones queparecían inútiles
380,usar,v,to use,mi teléfono no funciona y quisiera usar eltuyo
381,decidir,v,to decide,¿cómo decidió usted ser director de orquesta?
382,repetir,v,to repeat,no voy a repetir este pecado más en la vida
383,olvidar,v,to forget,no he podido olvidar aquella noche de tudespedida
384,ley,nf,"law, bill, rule",el casamiento civil es una ley de este país
385,aspecto,nm,"aspect, appearance",uno de los aspectos más controvertidos delmodernismo
386,pie,nm,"foot, base",está enfermo y tiene un pie en el cementerio
387,valer,v,"to be worth, cost",¡estas joyas tienen que valer muchos millones!
388,especie,nf,"kind, sort, species",el único que llegó a ser una especie demonstruo fui yo
389,comer,v,to eat,te comiste todo el queso
390,servicio,nm,"service, helpfulness",es un servicio público que beneficia alindividuo
391,cerca,adv,"close, near",nos sentábamos cerca del fuego
392,mostrar,v,to show,con un dedo me mostró un agujerito negro
393,actividad,nf,"activity, action",pienso que el arte es una actividad mental
394,tercero,adj,third,en uno de los primeros años de la terceradécada del siglo
395,cuál,pron,which?,primero dime cuál es tu nombre
396,pronto,adv,"soon, quick",pronto lo tuvieron todo hecho
397,ocupar,v,"to occupy, use",volvió a ocupar su lugar
398,cuestión,nf,"question, matter",creo que es una cuestión de sinceridad
399,duda,nf,doubt,no existía duda alguna en que era hijo mío
400,diferencia,nf,difference,¿sabés la diferencia entre el contador y elmatemático?
401,mañana,nf,"morning, tomorrow","sí, todo el día está allá, desde la mañana hastala tarde"
402,mover,v,"to move, incite",después de mover a uno y otro lado la cabeza
403,continuar,v,to continue,da la orden para continuar la marcha
404,cantidad,nf,"quantity, amount",todo esto genera una cantidad de datosformidables
405,acción,nf,"action, act, deed",esta acción legal pretendía acelerar laliberalización económica
406,suceder,v,to happen,"¿qué pasa?, ¿sucedió algo malo?, ¿algúnproblema?"
407,fijar,v,"to set, fix, [se] notice",lo primero que hizo fue fijar fecha definitiva
408,sociedad,nf,society,creaban una sociedad multicultural que vivíaen paz
409,referir,v,to refer (to),me voy a referir a los dos últimos puntos
410,acercar,v,to come near,"él me miró, se acercó, me besó"
411,capaz,adj,"capable, able",¿es usted capaz de describir su propia carrera?
412,bajo,adj,"short, low",las puertas de madera son bajas y rudas
413,libre,adj,"free, vacant",estaré más tranquilo y con más tiempo libre
414,natural,adj,natural,decidió que su conducta era natural y sincera
415,dedicar,v,"to dedicate, devote",cuando se quedó sola se dedicó más horas a escribir
416,realmente,adv,"really, actually, in fact",¿antes de nacer nosotros existía realmente el mundo?
417,peso,nm,"peso (money), weight, load",por lo menos son quince mil pesos por mes
418,efecto,nm,effect,para estudiar el efecto del Sol sobre la emisiónde rayos X
419,objeto,nm,"object, thing",será objeto de estudio para las prediccionesmeteorológicas
420,verdadero,adj,"true, real",cuyo verdadero nombre no conoció nadie
421,dónde,adv,where?,¿Dónde está escrito esto en la historia?
422,aprender,v,to learn,no hay manera de aprender el otro lenguaje
423,amor,nm,love,¡por el amor más grande del mundo; el amorde Dios!
424,muerte,nf,death,"sólo la muerte no tiene remedio, Juan"
425,partido,nm,"party, group, (sports) match",fue consejero de un candidato del partidoconservador
426,económico,adj,economic,es necesario tener progreso económico
427,derecho,nm,"right, justice, law",los catalanes tienen el derecho a usar los dosidiomas que son suyos
428,poder,nm,power,le dio el poder de manejar la economíamundial
429,importancia,nf,importance,¿qué proyectos de importancia tiene en suagenda?
430,sistema,nm,system,están situados a 4 mil años luz del sistemasolar
431,viaje,nm,"travel, trip",le suceden todo tipo de aventuras durante su viaje
432,suelo,nm,"ground, floor",durmió en el suelo sobre varias mantas
433,respecto,nm,"respect, con respecto a: withregards to",los grupos varían con respecto al número quelo componen
434,conocimiento,nm,knowledge,desplegó un conocimiento variado de loscostumbres del país
435,libertad,nf,"freedom, liberty","les falta la libertad, el hábito de pensarlibremente"
436,encima,adv,"above, on top, in addition",nos pueden elevar por encima de nuestrarealidad
437,comprar,v,to buy,me iba a comprar un televisor
